tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;53292332#0_0;29.81;12.38;0.00;0.00;240384794_0;54.73;9.71;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;12.00;0.122.0;1;149.47;1.25;0.00;2.77;passenger;;0;0.00;66823.203470;991.480214;6.123791;28.425268;1.363760;0;28.724134
12.00;48484723_1;142.71;19.98;0.00;0.00;48484828#4_1;120.47;20.95;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;227.26;1.26;0.00;0.27;taxi;;0;0.00;21058.521076;130.751899;1.097254;7.678485;0.351944;0;9.052105
18.00;48484723_1;142.71;20.69;0.00;0.00;48484828#4_1;0.00;21.37;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;18.00;0.162.0;0;347.73;1.28;0.00;1.00;passenger;;0;0.00;60467.620675;568.211998;4.029419;23.503397;1.131611;0;25.992202
20.00;53292332#0_0;29.81;11.25;0.00;0.00;--199263543_0;31.35;11.68;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;20.00;0.82.0;1;193.57;1.05;0.00;4.77;passenger;;0;0.00;66491.453455;1042.598502;6.310527;27.340776;1.182905;0;28.581826
22.00;53283046#0_0;165.89;16.95;0.00;0.00;192483968#1_0;0.00;17.88;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;22.00;0.182.0;0;368.27;1.07;0.00;0.85;passenger;;0;0.00;59384.854821;388.812144;3.146554;22.206344;0.934297;0;25.526868
23.00;53283046#0_0;165.89;18.22;1.00;1.00;192483968#1_0;0.00;15.15;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;22.00;7.1132.0;0;368.27;1.12;0.00;2.27;taxi;;0;0.00;77994.525406;729.190233;5.082839;30.573460;1.369899;0;33.526232
30.00;53281543_0;136.33;11.99;0.00;0.00;408074469#0_2;0.00;18.81;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;30.00;1.292.0;1;313.79;1.13;0.00;8.83;passenger;;1;2.00;83323.380392;1486.111984;8.743719;34.782985;1.590218;0;35.817157
31.00;48484723_1;142.71;19.88;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;10.64;bus;;0;0.00;699907.505566;1023.717084;198.225720;5289.744289;110.157930;0;298.507449
33.00;28639939#0_0;139.89;16.29;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.22;0.00;13.45;passenger;;1;3.00;126608.454354;2058.937753;12.392206;53.517585;2.533883;0;54.423215
34.00;53283046#0_1;165.89;19.87;5.00;5.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;10.57;bus;;0;0.00;707583.604095;1031.661964;199.221120;5342.633769;111.037303;0;301.781576
