interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;6.51;0;5.00;1;2;20.03;6.51
0.00;30.00;120.00;6.68;1;5.00;1;2;24.23;6.68
0.00;30.00;120.00;6.40;2;5.00;1;2;30.25;6.40
0.00;30.00;120.00;7.34;3;5.00;1;2;23.59;7.34
0.00;30.00;120.00;5.48;4;5.00;1;1;3.04;5.48
0.00;30.00;120.00;4.96;5;5.00;1;1;3.36;4.96
0.00;30.00;0.00;-1.00;6;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.35;8;5.00;1;1;1.78;9.35
0.00;30.00;120.00;8.90;9;12.00;1;1;4.49;8.90
0.00;30.00;840.00;4.11;10;6.00;7;7;31.51;6.13
0.00;30.00;480.00;2.89;11;5.00;4;4;23.06;8.09
0.00;30.00;120.00;10.78;12;5.00;1;1;1.55;10.78
0.00;30.00;0.00;-1.00;13;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;600.00;12.51;110;5.00;5;5;6.66;12.60
0.00;30.00;120.00;3.76;111;5.00;1;1;4.43;3.76
0.00;30.00;360.00;13.45;112;5.00;3;4;3.84;13.88
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;16;-1.00;0;1;0.49;-1.00
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;16.34;20;5.00;1;1;1.02;16.34
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;840.00;15.77;23;5.00;7;7;7.40;15.86
0.00;30.00;240.00;8.83;24;5.00;2;2;3.77;8.88
0.00;30.00;0.00;-1.00;25;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.67;28;5.00;1;2;39.93;5.67
0.00;30.00;120.00;4.81;29;5.00;1;2;19.30;4.81
