tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;48484723_1;142.71;19.83;0.00;0.00;48484828#4_1;130.14;20.13;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;217.59;1.21;0.00;0.33;taxi;;0;0.00;26629.976786;171.152191;1.420731;9.850217;0.443566;0;11.447015
18.00;48484723_1;142.71;19.45;0.00;0.00;48484828#4_1;0.00;20.11;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;18.00;0.162.0;0;347.73;1.21;0.00;0.50;passenger;;0;0.00;44533.727510;242.608064;2.157044;16.136826;0.709350;0;19.143045
21.00;53292332#0_0;29.81;11.87;0.00;0.00;--199263543_0;33.42;12.83;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;191.50;1.16;0.00;7.20;passenger;;0;0.00;65806.928662;1047.002308;6.307206;27.285488;1.205984;0;28.287534
24.00;53281543_0;136.33;12.14;0.00;0.00;408074469#0_1;0.00;19.90;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;24.00;1.292.0;1;313.79;1.19;0.00;3.31;passenger;;0;0.00;73187.039349;965.721599;6.141409;29.886600;1.353123;0;31.459793
25.00;53283046#0_0;165.89;16.58;0.00;0.00;192483968#1_0;0.00;17.13;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;25.00;0.182.0;0;368.27;1.03;0.00;2.71;passenger;;0;0.00;75632.883177;752.951082;5.182546;29.887372;1.319397;0;32.511104
26.00;53283046#0_0;165.89;19.10;2.00;2.00;192483968#1_0;0.00;11.83;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;24.00;7.1132.0;0;368.27;1.23;0.00;5.62;taxi;;0;0.00;118136.362740;1480.876493;9.590923;48.988373;2.327123;0;50.781205
32.00;48484723_1;142.71;19.95;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;29.00;2.150.0;0;335.63;1.20;0.00;11.92;bus;;0;0.00;709163.598266;1051.274676;203.622688;5384.388380;112.873621;0;302.451442
33.00;53283046#0_1;165.89;19.82;4.00;4.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;11.13;bus;;0;0.00;692073.345107;1019.233366;197.245372;5242.995364;109.542080;0;295.164228
34.00;37022128_0;106.30;19.57;3.00;3.00;53281545#2_0;0.00;9.30;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;31.00;0.285.0;1;397.62;1.21;0.00;12.49;passenger;;0;0.00;140972.547439;2100.119265;12.910671;58.764724;2.788304;0;60.597631
37.00;28639939#0_0;139.89;12.53;0.00;0.00;53281545#2_1;0.00;16.30;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;37.00;0.283.0;1;333.86;0.98;0.00;13.08;passenger;;1;4.00;108840.837459;2129.097073;12.263663;45.279310;2.043302;0;46.786226
37.00;775830384_1;114.22;17.68;4.00;4.00;53281545#2_0;0.00;5.10;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;33.00;6.1161.0;1;398.70;1.13;0.00;10.33;taxi;;0;0.00;128839.156264;1945.275359;11.853637;52.946369;2.461662;0;55.382209
39.00;28639939#0_0;139.89;16.37;5.00;5.00;53281545#2_0;0.00;1.43;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;34.00;6.1162.0;1;341.71;1.19;0.00;13.99;taxi;;0;0.00;144272.170155;2478.541345;14.717510;61.023875;2.866007;0;62.016171
41.00;775830384_1;114.22;14.61;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;41.00;0.281.0;1;406.55;1.19;0.00;19.48;passenger;;1;3.00;181708.611129;3100.638564;18.429135;77.665342;3.736613;0;78.108210
44.00;-292382413_0;152.29;12.81;2.00;2.00;53281545#2_1;0.00;13.15;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;42.00;0.284.0;1;410.56;1.22;0.00;16.33;passenger;;1;3.00;137952.165529;2114.301250;12.873971;57.062583;2.560140;0;59.299551
45.00;37022128_0;106.30;19.45;9.00;9.00;53281545#2_0;0.00;1.25;vehroute_6.1164.0 tripinfo_6.1164.0 routing_6.1164.0 emissions_6.1164.0;36.00;6.1164.0;1;397.92;1.20;0.00;14.66;taxi;;0;0.00;174650.645373;2833.262344;17.090078;73.620785;3.497310;0;75.074385
45.00;775830384_1;114.22;17.44;21.00;0.43;53281545#2_1;0.00;18.48;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;24.00;0.281.1;1;398.70;1.11;0.00;1.59;passenger;;0;0.00;65491.484761;621.040339;4.307689;25.679616;1.149355;0;28.151762
48.00;-37061736#7_0;33.63;12.38;0.00;0.00;583371595#1_0;78.98;19.89;vehroute_0.33.0 tripinfo_0.33.0 routing_0.33.0 emissions_0.33.0;48.00;0.33.0;1;854.56;1.19;0.00;2.79;passenger;;0;0.00;147297.881195;1306.335063;9.448947;56.808728;2.600201;0;63.316587
48.00;-292382413_0;152.29;12.86;7.00;7.00;53281545#2_0;0.00;1.25;vehroute_6.1163.0 tripinfo_6.1163.0 routing_6.1163.0 emissions_6.1163.0;41.00;6.1163.0;1;418.41;1.23;0.00;15.01;taxi;;0;0.00;149910.847776;2643.841324;15.611687;63.342679;2.954593;0;64.440075
50.00;53292419_0;342.11;11.39;0.00;0.00;--199263543_0;64.77;11.68;vehroute_0.83.0 tripinfo_0.83.0 routing_0.83.0 emissions_0.83.0;50.00;0.83.0;1;519.78;1.05;0.00;8.90;passenger;;0;0.00;137120.282454;2090.628391;12.735093;55.920938;2.381774;0;58.942178
51.00;53292418_0;332.16;13.18;1.00;1.00;--199263543_0;0.00;10.17;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;50.00;0.84.0;1;624.08;1.28;0.00;8.84;passenger;;0;0.00;180456.080715;2329.739460;14.840433;73.752426;3.287210;0;77.569877
55.00;28639939#0_0;139.89;16.65;23.00;23.00;53281545#2_0;12.10;0.00;vehroute_2.350.0 tripinfo_2.350.0 routing_2.350.0 emissions_2.350.0;32.00;2.350.0;1;329.61;1.20;0.00;12.42;bus;;0;0.00;796062.280512;1167.888177;219.173254;6031.343234;125.159581;0;339.508723
56.00;53283046#0_0;165.89;18.80;36.00;0.00;192483968#1_0;0.00;19.81;vehroute_0.182.1 tripinfo_0.182.1 routing_0.182.1 emissions_0.182.1;20.00;0.182.1;0;368.27;1.19;0.00;0.56;passenger;;0;0.00;51256.007247;185.262459;1.937577;17.790310;0.730426;0;22.032705
57.00;-49030944#2_0;126.35;20.78;0.00;0.00;-47826546_0;27.39;14.18;vehroute_1.550.0 tripinfo_1.550.0 routing_1.550.0 emissions_1.550.0;57.00;1.550.0;1;736.21;1.28;0.00;7.64;passenger;;0;0.00;181928.611922;2241.305538;14.469574;73.068464;3.205089;0;78.202988
58.00;775830384_0;114.22;7.62;0.00;0.00;-28639939#0_0;12.10;0.00;vehroute_2.250.0 tripinfo_2.250.0 routing_2.250.0 emissions_2.250.0;58.00;2.250.0;1;336.50;1.20;15.00;22.26;bus;;0;0.00;854435.360683;1535.148644;314.179917;6940.799214;161.116650;0;364.354368
59.00;-53292327_0;316.56;12.48;2.00;2.00;--199263543_0;0.00;7.16;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;57.00;0.85.0;1;679.97;1.17;0.00;9.87;passenger;;0;0.00;202073.553425;2693.034682;17.053278;82.531442;3.654418;0;86.862359
59.00;50172050#0_0;132.31;14.35;0.00;0.00;192483968#1_1;62.36;22.31;vehroute_0.185.0 tripinfo_0.185.0 routing_0.185.0 emissions_0.185.0;59.00;0.185.0;1;1063.95;1.34;0.00;6.63;passenger;;0;0.00;183052.476698;2043.452488;13.730293;73.037305;3.474368;0;78.685752
60.00;-49049137_0;228.40;12.22;3.00;3.00;--199263543_0;0.00;2.19;vehroute_0.86.0 tripinfo_0.86.0 routing_0.86.0 emissions_0.86.0;57.00;0.86.0;1;666.79;1.14;0.00;12.60;passenger;;0;0.00;215770.044476;3193.174368;19.687042;90.020346;4.143107;0;92.749735
60.00;-37061736#7_0;33.63;11.80;4.00;4.00;583371595#1_0;0.00;15.46;vehroute_6.1062.0 tripinfo_6.1062.0 routing_6.1062.0 emissions_6.1062.0;56.00;6.1062.0;1;926.71;1.14;0.00;4.98;taxi;;0;0.00;188037.412524;1893.822526;12.940547;74.325982;3.395132;0;80.828553
62.00;53281792_0;131.79;13.27;0.00;0.00;192483968#1_1;135.28;21.12;vehroute_0.186.0 tripinfo_0.186.0 routing_0.186.0 emissions_0.186.0;62.00;0.186.0;1;1128.23;1.27;0.00;4.29;passenger;;0;0.00;214539.895354;2207.846312;15.216875;84.581705;4.030914;0;92.220705
64.00;47661751#0_0;121.06;14.61;0.00;0.00;583371595#1_0;139.76;22.66;vehroute_0.35.0 tripinfo_0.35.0 routing_0.35.0 emissions_0.35.0;64.00;0.35.0;1;1274.52;1.36;0.00;3.27;passenger;;0;0.00;212012.626382;1921.725871;13.888104;80.993428;3.902138;0;91.134469
64.00;53281543_0;136.33;12.77;32.00;32.00;408074469#0_0;12.10;0.00;vehroute_3.300.0 tripinfo_3.300.0 routing_3.300.0 emissions_3.300.0;32.00;3.300.0;1;301.69;1.20;0.00;12.24;bus;;0;0.00;630575.098303;971.668727;189.428340;4851.348844;103.746748;0;268.925623
64.00;775830384_1;114.22;19.85;42.00;0.86;53281545#2_0;0.00;20.45;vehroute_0.281.2 tripinfo_0.281.2 routing_0.281.2 emissions_0.281.2;22.00;0.281.2;1;406.55;1.23;0.00;0.99;passenger;;0;0.00;70299.396304;847.621034;5.567144;28.815186;1.434121;0;30.218330
65.00;gneE5_0;349.68;13.04;0.00;0.00;192483968#1_0;98.71;21.30;vehroute_0.184.0 tripinfo_0.184.0 routing_0.184.0 emissions_0.184.0;65.00;0.184.0;1;1021.10;1.28;0.00;7.44;passenger;;0;0.00;209361.451720;2230.616860;15.134589;82.443973;3.734924;0;89.994978
