interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;6.89;0;5.00;1;2;14.36;6.89
0.00;30.00;120.00;7.02;1;5.00;1;2;31.57;7.02
0.00;30.00;120.00;6.19;2;5.00;1;2;33.81;6.19
0.00;30.00;120.00;8.23;3;5.00;1;2;29.29;8.23
0.00;30.00;120.00;5.22;4;5.00;1;1;3.19;5.22
0.00;30.00;120.00;5.67;5;5.00;1;1;2.94;5.67
0.00;30.00;0.00;-1.00;6;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;10.16;8;5.00;1;1;1.64;10.16
0.00;30.00;120.00;10.13;9;12.00;1;1;3.95;10.13
0.00;30.00;840.00;3.69;10;6.00;7;7;35.17;6.16
0.00;30.00;480.00;2.97;11;5.00;4;4;22.41;8.01
0.00;30.00;120.00;8.94;12;5.00;1;1;1.86;8.94
0.00;30.00;0.00;-1.00;13;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;600.00;11.27;110;5.00;5;5;7.40;11.41
0.00;30.00;240.00;13.91;111;5.00;2;2;2.40;13.91
0.00;30.00;240.00;14.50;112;5.00;2;2;2.30;14.52
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;16;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;14.30;20;5.00;1;1;1.17;14.30
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;840.00;15.55;23;5.00;7;7;7.50;15.64
0.00;30.00;240.00;8.87;24;5.00;2;2;3.76;8.88
0.00;30.00;0.00;-1.00;25;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;4.96;28;5.00;1;2;37.10;4.96
0.00;30.00;120.00;5.42;29;5.00;1;2;24.20;5.42
0.00;30.00;120.00;5.22;30;5.00;1;1;3.20;5.22
0.00;30.00;0.00;-1.00;31;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;17.76;150;5.00;2;2;1.88;17.78
0.00;30.00;120.00;19.06;151;12.00;1;1;2.10;19.06
0.00;30.00;720.00;9.19;152;6.17;6;6;14.55;9.87
0.00;30.00;960.00;13.88;153;5.88;8;8;11.03;14.33
0.00;30.00;120.00;21.74;32;5.00;1;1;0.77;21.74
0.00;30.00;0.00;-1.00;33;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;34;-1.00;0;0;0.00;-1.00
0.00;30.00;1080.00;15.25;36;5.00;9;9;9.84;15.41
0.00;30.00;120.00;15.19;37;5.00;1;1;1.10;15.19
0.00;30.00;0.00;-1.00;38;-1.00;0;0;0.00;-1.00
