tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
13.00;48484723_1;142.71;18.18;0.00;0.00;48484828#4_1;110.37;19.24;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;13.00;7.1122.0;0;237.36;1.15;0.00;0.45;taxi;;0;0.00;27093.334573;121.478120;1.172090;9.681830;0.401169;0;11.646220
19.00;48484723_1;142.71;18.38;0.00;0.00;48484828#4_1;0.00;19.10;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;19.00;0.162.0;0;347.73;1.15;0.00;0.74;passenger;;0;0.00;51847.302667;405.153560;3.090585;19.820658;0.894147;0;22.286764
20.00;53292332#0_0;29.81;12.61;0.00;0.00;--199263543_0;30.29;14.38;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;20.00;0.82.0;1;194.63;1.29;0.00;7.97;passenger;;0;0.00;64543.476865;1089.264705;6.503419;27.585403;1.300885;0;27.744301
21.00;53283046#0_0;165.89;20.85;0.00;0.00;192483968#1_0;0.00;20.89;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;21.00;0.182.0;0;368.27;1.25;0.00;3.06;passenger;;0;0.00;90897.445104;1043.923646;6.956641;36.820517;1.776410;0;39.072511
23.00;53283046#0_0;165.89;20.36;2.00;2.00;192483968#1_0;0.00;13.59;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;21.00;7.1132.0;0;368.27;1.29;0.00;3.41;taxi;;0;0.00;95892.650126;1210.542859;7.813333;39.774460;1.947168;0;41.219642
24.00;53281543_0;136.33;11.80;0.00;0.00;408074469#0_1;0.00;19.48;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;24.00;1.292.0;1;313.79;1.17;0.00;2.99;passenger;;0;0.00;56432.745855;630.749763;4.198703;22.039503;0.916565;0;24.257997
30.00;48484723_1;142.71;19.89;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;27.00;2.150.0;0;335.63;1.20;0.00;10.18;bus;;0;0.00;694833.477790;1009.015756;193.454697;5240.923988;108.583913;0;296.343313
32.00;28639939#0_0;139.89;17.43;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;32.00;0.283.0;1;333.86;1.33;0.00;13.77;passenger;;1;3.00;134456.510896;2145.468886;12.960182;56.936338;2.721751;0;57.796661
35.00;775830384_1;114.22;19.45;4.00;4.00;53281545#2_0;0.00;5.09;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;31.00;6.1161.0;1;398.70;1.20;0.00;9.90;taxi;;1;1.00;137075.005575;2105.709421;12.885786;56.952885;2.723212;0;58.922327
35.00;53283046#0_1;165.89;19.86;5.00;5.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;30.00;3.450.0;0;356.19;1.20;0.00;11.23;bus;;0;0.00;723701.583560;1065.405582;209.519291;5477.742131;114.726445;0;308.657078
39.00;775830384_1;114.22;15.45;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;39.00;0.281.0;1;406.55;1.39;0.00;20.72;passenger;;1;4.00;171406.760110;2865.887080;17.171487;73.324243;3.533674;0;73.679861
39.00;37022128_0;106.30;20.47;3.00;3.00;53281545#2_0;0.00;9.20;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;36.00;0.285.0;1;397.92;1.23;0.00;15.61;passenger;;0;0.00;169770.733811;2816.009507;16.906197;71.961232;3.467113;0;72.976687
42.00;-292382413_0;152.29;13.34;2.00;2.00;53281545#2_1;0.00;13.20;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;40.00;0.284.0;1;410.56;1.25;0.00;14.74;passenger;;1;2.00;150713.059974;2300.921628;14.030361;62.856236;2.873873;0;64.784768
43.00;28639939#0_0;139.89;16.00;5.00;5.00;53281545#2_0;0.00;1.31;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;38.00;6.1162.0;1;341.71;1.15;0.00;16.72;taxi;;0;0.00;138429.395499;2393.895555;14.161958;57.543572;2.618815;0;59.504852
43.00;775830384_1;114.22;19.70;21.00;0.43;53281545#2_1;0.00;20.01;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;22.00;0.281.1;1;398.70;1.20;0.00;1.25;passenger;;0;0.00;78017.664379;750.068177;5.242594;30.627734;1.429810;0;33.536150
