step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;625280396;0;1;85;245;16.64;1.17;-1.00;0.00;85;0;0.00;160
0;0;625280424;0;1;98;245;15.89;1.10;-1.00;0.13;98;0;1.00;147
0;0;625280425;0;0;118;245;15.20;1.03;-1.00;0.45;118;0;2.00;127
0;0;625280427;0;1;134;245;14.25;0.96;-1.00;0.75;134;0;3.00;111
0;0;625280428;0;0;148;245;13.16;0.88;-1.00;1.06;148;0;4.00;97
0;0;625280429;0;3;157;245;11.99;0.80;-1.00;1.29;157;0;5.00;88
0;0;625280431;0;6;165;245;11.30;0.75;-1.00;1.52;165;0;6.00;80
0;0;625280433;0;8;173;245;10.69;0.71;-1.00;1.77;173;0;7.00;72
0;0;625280434;0;13;179;246;10.24;0.68;-1.00;1.98;179;0;8.00;67
0;0;625280437;0;15;187;247;9.66;0.64;-1.00;2.28;187;0;9.00;60
0;0;625280439;0;21;192;247;9.51;0.63;-1.00;2.44;192;0;10.00;55
1;0;625280441;1;21;199;248;9.13;0.60;11.00;2.69;198;0;11.00;49
1;0;625280443;1;26;203;248;9.01;0.59;11.00;2.88;202;0;12.00;45
1;0;625280445;1;30;204;248;9.07;0.59;11.00;2.93;203;0;13.00;44
1;0;625280448;1;37;208;248;8.95;0.58;11.00;3.14;207;0;14.00;40
1;0;625280450;1;41;214;252;8.78;0.57;11.00;3.34;213;0;15.00;38
1;0;625280453;1;44;214;252;8.75;0.57;11.00;3.34;213;0;16.00;38
1;0;625280456;1;47;218;252;8.61;0.56;11.00;3.59;217;0;17.00;34
2;0;625280459;2;53;220;255;8.75;0.56;14.50;3.64;218;0;18.00;35
2;0;625280462;2;57;222;255;8.85;0.57;14.50;3.78;220;0;19.00;33
3;0;625280471;3;62;224;255;8.72;0.55;16.33;3.92;221;0;20.00;31
4;0;625280474;4;67;230;259;8.82;0.56;17.50;4.02;226;0;21.00;29
4;0;625280477;4;70;235;260;8.75;0.55;17.50;4.31;231;0;22.00;25
5;0;625280480;5;73;238;260;8.62;0.54;18.60;4.55;233;0;23.00;22
5;0;625280483;5;74;245;264;8.56;0.54;18.60;4.78;240;0;24.00;19
6;0;625280486;6;79;247;264;8.46;0.53;19.33;4.87;241;0;25.00;17
6;0;625280489;6;84;249;264;8.49;0.53;19.33;5.04;243;0;26.00;15
6;0;625280493;6;85;253;265;8.51;0.53;19.33;5.28;247;0;27.00;12
6;0;625280498;6;88;253;265;8.64;0.54;19.33;5.28;247;0;28.00;12
6;0;625280502;6;92;257;271;8.62;0.53;19.33;5.21;251;0;29.00;14
6;0;625280507;6;94;259;271;8.53;0.53;19.33;5.40;253;0;30.00;12
7;0;625280511;7;99;261;272;8.42;0.52;20.57;5.48;254;0;31.00;11
7;0;625280514;7;101;261;272;8.48;0.52;20.57;5.48;254;0;32.00;11
7;0;625280517;7;104;263;272;8.48;0.52;20.57;5.60;256;0;33.00;9
9;0;625280520;9;109;264;272;8.53;0.53;23.00;5.66;255;0;34.00;8
9;0;625280524;9;113;265;272;8.57;0.53;23.00;5.71;256;0;35.00;7
9;0;625280528;9;116;277;284;8.71;0.54;23.00;5.53;268;0;36.00;7
10;0;625280533;10;118;277;284;8.53;0.53;24.00;5.53;267;0;37.00;7
10;0;625280536;10;119;277;284;8.46;0.52;24.00;5.53;267;0;38.00;7
11;0;625280539;11;122;277;284;8.36;0.52;25.36;5.53;266;0;39.00;7
11;0;625280543;11;123;279;284;8.19;0.51;25.36;5.58;268;0;40.00;5
13;0;625280546;13;126;280;284;8.10;0.50;27.15;5.58;267;0;41.00;4
13;0;625280549;13;128;284;288;8.21;0.51;27.15;5.51;271;0;42.00;4
14;0;625280553;14;131;284;288;8.10;0.50;26.79;5.51;270;0;43.00;4
14;0;625280556;14;136;287;292;8.05;0.50;26.79;5.46;273;0;44.00;5
15;0;625280559;15;139;289;294;8.10;0.50;27.87;5.43;274;0;45.00;5
16;0;625280562;16;140;290;294;8.00;0.50;29.00;5.42;274;0;46.00;4
17;0;625280565;17;138;290;294;7.97;0.49;29.53;5.42;273;0;47.00;4
17;0;625280569;17;141;301;307;8.24;0.51;29.53;5.22;284;0;48.00;6
17;0;625280573;17;141;301;307;8.08;0.50;29.53;5.22;284;0;49.00;6
18;0;625280576;18;145;301;307;8.01;0.50;30.28;5.22;283;0;50.00;6
19;0;625280579;19;146;302;308;7.98;0.49;31.37;5.21;283;0;51.00;6
19;0;625280582;19;146;303;309;7.94;0.49;31.37;5.19;284;0;52.00;6
19;0;625280585;19;149;303;309;7.91;0.49;31.37;5.19;284;0;53.00;6
19;0;625280588;19;149;305;312;7.98;0.49;31.37;5.16;286;0;54.00;7
21;0;625280592;21;149;305;312;7.82;0.48;31.86;5.16;284;0;55.00;7
22;0;625280595;22;140;306;312;7.71;0.48;31.91;5.15;284;0;56.00;6
23;0;625280598;23;136;306;312;7.58;0.47;33.00;5.15;283;0;57.00;6
23;0;625280602;23;136;310;318;7.54;0.46;33.00;5.09;287;0;58.00;8
23;0;625280605;23;138;310;318;7.46;0.46;33.00;5.09;287;0;59.00;8
26;0;625280610;26;143;311;318;7.50;0.46;35.88;5.09;285;0;60.00;7
26;0;625280614;26;147;311;318;7.63;0.47;35.88;5.09;285;0;61.00;7
27;0;625280619;27;148;316;322;7.64;0.47;36.85;5.03;289;0;62.00;6
27;0;625280623;27;150;317;323;7.81;0.48;36.85;5.02;290;0;63.00;6
30;0;625280627;30;151;317;323;7.86;0.48;38.40;5.02;287;0;64.00;6
30;0;625280630;30;152;318;324;8.00;0.49;38.40;5.01;288;0;65.00;6
30;0;625280633;30;154;318;324;8.05;0.49;38.40;5.01;288;0;66.00;6
31;0;625280637;31;143;318;324;8.08;0.49;37.97;5.01;287;0;67.00;6
31;0;625280641;31;138;318;324;8.19;0.50;37.97;5.01;287;0;68.00;6
31;0;625280644;31;134;318;324;8.23;0.51;37.97;5.01;287;0;69.00;6
31;0;625280647;31;131;318;324;8.34;0.51;37.97;5.01;287;0;70.00;6
32;0;625280650;32;127;318;324;8.43;0.52;38.81;5.01;286;0;71.00;6
33;0;625280653;33;133;354;394;8.44;0.52;39.18;4.50;321;0;72.00;40
34;0;625280663;34;124;355;395;8.63;0.53;39.97;4.49;321;0;73.00;40
35;0;625280674;35;119;362;395;8.99;0.55;40.94;4.44;327;0;74.00;33
35;0;625280678;35;115;364;395;9.19;0.56;40.94;4.43;329;0;75.00;31
36;0;625280682;36;113;368;395;9.49;0.58;41.92;4.43;332;0;76.00;27
36;0;625280692;36;111;370;395;9.61;0.59;41.92;4.43;334;0;77.00;25
36;0;625280696;36;108;372;395;9.66;0.59;41.92;4.44;336;0;78.00;23
37;0;625280706;37;108;375;395;9.72;0.59;42.92;4.46;338;0;79.00;20
39;0;625280710;39;111;376;396;9.76;0.59;44.38;4.47;337;0;80.00;20
40;0;625280714;40;114;380;397;9.80;0.59;45.08;4.49;340;0;81.00;17
41;0;625280720;41;117;382;397;9.76;0.59;45.98;4.50;341;0;82.00;15
41;0;625280724;41;125;386;401;9.64;0.59;45.98;4.47;345;0;83.00;15
41;0;625280728;41;128;386;401;9.68;0.59;45.98;4.47;345;0;84.00;15
42;0;625280733;42;128;386;401;9.56;0.58;46.90;4.47;344;0;85.00;15
42;0;625280743;42;129;386;401;9.49;0.58;46.90;4.47;344;0;86.00;15
43;0;625280747;43;130;390;407;9.36;0.57;47.72;4.43;347;0;87.00;17
44;0;625280751;44;132;390;407;9.24;0.56;48.64;4.43;346;0;88.00;17
45;0;625280756;45;137;391;407;9.11;0.55;49.53;4.43;346;0;89.00;16
46;0;625280761;46;136;394;413;9.04;0.55;50.28;4.39;348;0;90.00;19
47;0;625280766;47;137;395;413;8.96;0.54;51.15;4.38;348;0;91.00;18
50;0;625280770;50;134;395;413;8.82;0.53;53.60;4.38;345;0;92.00;18
50;0;625280774;50;135;397;414;8.73;0.53;53.60;4.37;347;0;93.00;17
51;0;625280783;51;135;398;415;8.79;0.54;52.98;4.36;347;0;94.00;17
54;0;625280787;54;136;399;415;8.80;0.54;55.31;4.37;345;0;95.00;16
58;0;625280791;58;138;409;428;8.60;0.53;58.12;4.26;351;0;96.00;19
59;0;625280796;59;138;410;428;8.68;0.53;58.76;4.25;351;0;97.00;18
59;0;625280800;59;139;410;428;8.65;0.53;58.76;4.25;351;0;98.00;18
62;0;625280804;62;137;411;429;8.72;0.53;60.58;4.24;349;0;99.00;18
62;0;625280810;62;129;411;429;8.83;0.54;60.58;4.24;349;0;100.00;18
