interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;7.29;0;5.00;1;1;2.29;7.29
0.00;30.00;120.00;6.47;1;5.00;1;1;2.58;6.47
0.00;30.00;120.00;6.34;2;5.00;1;2;3.24;6.34
0.00;30.00;120.00;8.30;3;5.00;1;2;27.96;8.30
0.00;30.00;120.00;4.64;4;5.00;1;1;3.60;4.64
0.00;30.00;0.00;-1.00;5;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;4.57;6;5.00;1;1;3.65;4.57
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.15;8;5.00;1;1;1.82;9.15
0.00;30.00;120.00;10.09;9;12.00;1;1;3.96;10.09
0.00;30.00;720.00;3.72;10;6.17;6;6;30.16;6.84
0.00;30.00;600.00;3.43;11;5.00;5;5;24.32;6.78
0.00;30.00;0.00;-1.00;12;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.82;13;5.00;1;1;1.70;9.82
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;16.55;110;5.00;3;3;3.02;16.56
0.00;30.00;0.00;-1.00;111;-1.00;0;1;0.90;-1.00
0.00;30.00;720.00;9.13;112;5.00;6;6;10.95;11.51
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;4.62;16;5.00;1;1;3.61;4.62
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;20;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;960.00;14.17;23;5.00;8;8;9.41;14.26
