tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;53283046#0_0;165.89;19.03;0.00;0.00;192483968#1_0;161.06;19.16;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;12.00;7.1132.0;0;207.21;1.15;0.00;0.41;taxi;;0;0.00;32772.313500;231.791050;1.841776;12.351108;0.549634;0;14.087317
13.00;48484723_1;142.71;19.45;0.00;0.00;48484828#4_1;118.97;19.51;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;13.00;7.1122.0;0;228.76;1.17;0.00;0.42;taxi;;0;0.00;35243.510628;351.680884;2.455394;13.972004;0.666654;0;15.149523
20.00;48484723_1;142.71;18.48;0.00;0.00;48484828#4_1;0.00;18.85;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;20.00;0.162.0;0;347.73;1.13;0.00;0.58;passenger;;0;0.00;49290.320510;353.812074;2.792892;18.629138;0.827105;0;21.187651
21.00;53292332#0_0;29.81;10.58;0.00;0.00;--199263543_0;35.47;11.83;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;189.45;1.06;0.00;6.73;passenger;;0;0.00;68266.821696;1151.262495;6.856658;28.611946;1.284160;0;29.344934
23.00;53283046#0_0;165.89;16.85;0.00;0.00;192483968#1_0;0.00;17.53;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;23.00;0.182.0;0;368.27;1.05;0.00;1.05;passenger;;0;0.00;68375.938813;588.446478;4.262512;26.531093;1.169152;0;29.391667
26.00;53281543_0;136.33;13.70;0.00;0.00;408074469#0_2;0.00;20.98;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;26.00;1.292.0;1;313.79;1.26;0.00;6.52;passenger;;0;0.00;61435.036749;1140.404991;6.640638;25.679896;1.190457;0;26.408311
31.00;28639939#0_0;139.89;18.73;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;31.00;0.283.0;1;333.86;1.40;0.00;13.64;passenger;;1;4.00;134863.571178;2088.324335;12.752590;56.886593;2.722475;0;57.971620
31.00;48484723_1;142.71;19.58;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;11.17;bus;;0;0.00;645215.934889;956.745576;182.991180;4902.214038;102.570085;0;275.175854
36.00;775830384_1;114.22;19.08;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;36.00;0.281.0;1;403.47;1.16;0.00;13.71;passenger;;1;6.00;138505.717101;2741.722665;15.723816;58.230721;2.818363;0;59.537707
37.00;53283046#0_1;165.89;19.74;7.00;7.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;30.00;3.450.0;0;356.19;1.20;0.00;11.24;bus;;0;0.00;721953.405384;1059.008060;205.227228;5461.533764;113.911158;0;307.909289
39.00;-292382413_0;152.29;13.52;2.00;2.00;53281545#2_1;0.00;13.46;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;37.00;0.284.0;1;410.56;1.26;0.00;12.07;passenger;;1;2.00;135971.870940;2238.885389;13.458862;57.528921;2.747468;0;58.448121
40.00;37022128_0;106.30;22.33;3.00;3.00;53281545#2_0;0.00;9.04;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;37.00;0.285.0;1;390.07;1.40;0.00;19.06;passenger;;1;1.00;197613.650971;3388.629752;20.191804;84.158343;4.097111;0;84.945087
40.00;28639939#0_0;139.89;15.97;5.00;5.00;53281545#2_0;0.00;1.25;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;35.00;6.1162.0;1;341.71;1.20;0.00;15.11;taxi;;0;0.00;145610.117463;2626.723952;15.382352;61.322564;2.866266;0;62.591446
41.00;775830384_1;114.22;18.35;4.00;4.00;53281545#2_0;0.00;4.84;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;37.00;6.1161.0;1;398.70;1.17;0.00;15.08;taxi;;0;0.00;164488.382743;2741.867337;16.424735;69.390077;3.297979;0;70.706143
42.00;37022128_0;106.30;20.16;7.00;7.00;53281545#2_0;0.00;1.11;vehroute_6.1164.0 tripinfo_6.1164.0 routing_6.1164.0 emissions_6.1164.0;35.00;6.1164.0;1;397.92;1.25;0.00;15.31;taxi;;0;0.00;162104.057802;2742.257053;16.385939;68.380796;3.298902;0;69.681223
43.00;-292382413_0;152.29;13.32;6.00;6.00;53281545#2_0;12.83;5.61;vehroute_6.1163.0 tripinfo_6.1163.0 routing_6.1163.0 emissions_6.1163.0;37.00;6.1163.0;1;405.58;1.21;0.00;11.76;taxi;;1;1.00;152894.190656;2462.165413;14.863933;63.890523;2.980583;0;65.722385
45.00;775830384_1;114.22;18.37;21.00;0.43;53281545#2_1;0.00;19.41;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;24.00;0.281.1;1;398.70;1.16;0.00;1.72;passenger;;0;0.00;80640.265164;803.746658;5.556509;31.860670;1.450904;0;34.663513
46.00;53292419_0;342.11;12.38;0.00;0.00;--199263543_0;63.81;13.57;vehroute_0.83.0 tripinfo_0.83.0 routing_0.83.0 emissions_0.83.0;46.00;0.83.0;1;520.74;1.22;0.00;10.34;passenger;;0;0.00;148391.535884;2036.736327;12.782787;60.476662;2.650724;0;63.786959
52.00;-53292327_0;316.56;15.62;2.00;2.00;--199263543_0;0.00;7.97;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;50.00;0.85.0;1;679.97;1.41;0.00;11.33;passenger;;0;0.00;208263.193053;2819.502836;17.829994;86.241606;4.018670;0;89.522707
52.00;53283046#0_0;165.89;23.20;36.00;0.00;192483968#1_0;0.00;24.08;vehroute_0.182.1 tripinfo_0.182.1 routing_0.182.1 emissions_0.182.1;16.00;0.182.1;0;368.27;1.44;0.00;0.35;passenger;;0;0.00;40882.578325;476.940593;3.183275;16.094715;0.846531;0;17.573500
53.00;53292418_0;332.16;12.45;1.00;1.00;--199263543_0;0.00;10.79;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;52.00;0.84.0;1;624.08;1.18;0.00;7.72;passenger;;0;0.00;149135.385207;2014.411487;12.706312;60.967943;2.696502;0;64.106632
53.00;-49030944#2_0;126.35;23.13;0.00;0.00;-47826546_0;29.62;15.94;vehroute_1.550.0 tripinfo_1.550.0 routing_1.550.0 emissions_1.550.0;53.00;1.550.0;1;733.98;1.43;0.00;8.47;passenger;;0;0.00;205580.173513;2728.461248;17.297515;84.522301;3.953148;0;88.369418
55.00;53281543_0;136.33;12.88;24.00;24.00;408074469#0_0;12.10;0.00;vehroute_3.300.0 tripinfo_3.300.0 routing_3.300.0 emissions_3.300.0;31.00;3.300.0;1;301.69;1.20;0.00;11.67;bus;;0;0.00;635071.582256;976.538827;190.013543;4882.761452;104.278660;0;270.843432
55.00;28639939#0_0;139.89;16.16;22.00;22.00;53281545#2_0;12.10;0.00;vehroute_2.350.0 tripinfo_2.350.0 routing_2.350.0 emissions_2.350.0;33.00;2.350.0;1;329.61;1.20;0.00;13.64;bus;;0;0.00;766134.734789;1142.822438;215.350350;5836.924947;122.190249;0;326.740839
56.00;-37061736#7_0;33.63;11.59;0.00;0.00;583371595#1_0;60.67;17.49;vehroute_0.33.0 tripinfo_0.33.0 routing_0.33.0 emissions_0.33.0;56.00;0.33.0;1;870.34;1.05;0.00;3.67;passenger;;0;0.00;141975.207966;1242.777095;8.822554;54.241555;2.273061;0;61.028825
