interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;7.80;0;5.00;1;2;15.02;7.80
0.00;30.00;120.00;2.93;1;5.00;1;2;23.58;2.93
0.00;30.00;120.00;6.00;2;5.00;1;3;32.13;6.00
0.00;30.00;120.00;6.92;3;5.00;1;2;40.24;6.92
0.00;30.00;120.00;4.19;4;5.00;1;1;3.97;4.19
0.00;30.00;0.00;-1.00;5;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.50;6;5.00;1;1;3.03;5.50
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;10.34;8;5.00;1;1;1.61;10.34
0.00;30.00;120.00;9.41;9;12.00;1;1;4.25;9.41
0.00;30.00;720.00;2.95;10;6.17;6;6;37.25;6.76
0.00;30.00;600.00;2.96;11;5.00;5;5;28.14;6.22
0.00;30.00;0.00;-1.00;12;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;10.65;13;5.00;1;1;1.56;10.65
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;16.87;110;5.00;3;3;2.96;16.96
0.00;30.00;0.00;-1.00;111;-1.00;0;0;0.00;-1.00
0.00;30.00;720.00;12.80;112;5.00;6;6;7.81;13.01
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.02;16;5.00;1;1;3.32;5.02
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;20;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;960.00;14.47;23;5.00;8;8;9.21;14.60
0.00;30.00;120.00;8.35;24;5.00;1;1;2.00;8.35
0.00;30.00;120.00;9.32;25;5.00;1;1;1.79;9.32
0.00;30.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.85;28;5.00;1;2;19.58;5.85
0.00;30.00;120.00;5.53;29;5.00;1;1;3.01;5.53
0.00;30.00;120.00;5.05;30;5.00;1;2;51.75;5.05
0.00;30.00;120.00;5.13;31;5.00;1;1;3.25;5.13
0.00;30.00;240.00;17.51;150;5.00;2;2;1.90;17.51
0.00;30.00;120.00;19.03;151;12.00;1;1;2.10;19.03
0.00;30.00;600.00;6.30;152;6.40;5;5;23.94;10.14
0.00;30.00;1080.00;14.10;153;5.78;9;9;12.13;14.24
0.00;30.00;0.00;-1.00;32;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;18.52;33;5.00;1;1;0.90;18.52
0.00;30.00;0.00;-1.00;34;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;14.97;36;5.00;2;2;2.23;15.05
0.00;30.00;840.00;16.05;37;5.00;7;7;7.27;16.08
0.00;30.00;0.00;-1.00;38;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;40;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;41;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;19.18;42;5.00;1;1;0.87;19.18
0.00;30.00;0.00;-1.00;43;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;7.34;44;5.00;3;3;6.81;7.89
0.00;30.00;840.00;9.86;45;5.00;7;8;12.69;9.91
0.00;30.00;120.00;22.19;46;5.00;1;1;0.75;22.19
0.00;30.00;120.00;5.84;47;5.00;1;2;73.32;5.84
0.00;30.00;120.00;5.57;48;5.00;1;2;80.63;5.57
0.00;30.00;120.00;6.83;49;5.00;1;2;83.40;6.83
0.00;30.00;0.00;-1.00;50;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;51;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;52;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;54;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;55;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;21.86;56;5.00;1;1;0.76;21.86
0.00;30.00;0.00;-1.00;57;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;58;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;59;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;60;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;61;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;62;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;63;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;22.27;64;5.00;1;1;0.75;22.27
0.00;30.00;0.00;-1.00;65;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.41;66;5.00;1;2;75.81;5.41
0.00;30.00;120.00;5.06;67;5.00;1;2;74.23;5.06
0.00;30.00;120.00;5.46;68;5.00;1;2;76.82;5.46
0.00;30.00;0.00;-1.00;69;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;70;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;71;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;6.97;72;5.00;1;1;2.39;6.97
0.00;30.00;0.00;-1.00;73;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;17.50;74;5.00;2;2;1.91;17.58
0.00;30.00;600.00;16.50;75;5.00;5;5;5.05;16.59
0.00;30.00;960.00;16.70;76;5.00;8;8;7.98;16.79
0.00;30.00;0.00;-1.00;78;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;11.37;79;5.00;1;1;1.47;11.37
0.00;30.00;0.00;-1.00;80;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;82;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;83;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;84;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;85;-1.00;0;0;0.00;-1.00
0.00;30.00;960.00;10.75;86;5.00;8;8;12.41;11.77
0.00;30.00;960.00;16.30;87;5.00;8;8;8.18;16.46
0.00;30.00;0.00;-1.00;88;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;89;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;90;-1.00;0;0;0.00;-1.00
0.00;30.00;480.00;20.48;92;5.00;4;4;3.25;20.52
0.00;30.00;240.00;19.75;93;5.00;2;2;1.69;19.76
0.00;30.00;120.00;19.04;94;5.00;1;1;0.88;19.04
0.00;30.00;0.00;-1.00;96;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;97;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;98;-1.00;0;0;0.00;-1.00
0.00;30.00;720.00;19.33;100;5.00;6;6;5.17;19.35
0.00;30.00;240.00;18.82;101;5.00;2;2;1.77;18.82
0.00;30.00;120.00;18.06;102;5.00;1;1;0.92;18.06
0.00;30.00;0.00;-1.00;104;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;105;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;3.70;106;5.00;1;2;86.43;3.70
0.00;30.00;120.00;7.14;107;5.00;1;2;76.01;7.14
0.00;30.00;0.00;-1.00;108;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;109;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;0;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;1;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;2;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;3;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;4;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;5;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;6;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
30.00;60.00;240.00;10.38;8;8.50;2;2;5.67;10.47
30.00;60.00;0.00;-1.00;9;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;7.65;10;12.00;1;1;5.23;7.65
30.00;60.00;120.00;18.06;11;5.00;1;1;0.92;18.06
30.00;60.00;0.00;-1.00;12;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;13;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
30.00;60.00;240.00;12.48;110;12.00;2;2;6.41;12.49
30.00;60.00;0.00;-1.00;111;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;15.47;112;5.00;1;1;1.08;15.47
30.00;60.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;16;-1.00;0;1;24.16;-1.00
30.00;60.00;240.00;3.14;17;5.00;2;2;10.62;3.59
30.00;60.00;240.00;0.89;18;5.00;2;2;37.39;2.48
30.00;60.00;240.00;0.59;19;5.00;2;2;56.57;2.63
30.00;60.00;120.00;9.73;20;12.00;1;1;4.11;9.73
30.00;60.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;14.65;23;5.00;1;1;1.14;14.65
30.00;60.00;0.00;-1.00;24;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;25;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;0.15;28;5.00;1;0;95.18;0.15
30.00;60.00;0.00;-1.00;29;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;0.12;30;5.00;1;0;95.48;0.12
30.00;60.00;0.00;-1.00;31;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;19.70;150;5.00;1;1;0.85;19.70
30.00;60.00;0.00;-1.00;151;-1.00;0;0;0.00;-1.00
30.00;60.00;240.00;9.66;152;5.00;2;2;3.45;13.20
30.00;60.00;240.00;10.35;153;5.00;2;2;3.22;12.93
30.00;60.00;120.00;19.62;32;5.00;1;1;0.85;19.62
30.00;60.00;120.00;19.69;33;5.00;1;1;0.85;19.69
30.00;60.00;0.00;-1.00;34;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;15.69;36;5.00;1;1;1.06;15.69
30.00;60.00;840.00;16.48;37;5.00;7;7;7.08;16.49
30.00;60.00;240.00;20.81;38;5.00;2;2;1.60;20.84
30.00;60.00;120.00;20.40;40;5.00;1;1;0.82;20.40
30.00;60.00;0.00;-1.00;41;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;18.93;42;5.00;1;1;0.88;18.93
30.00;60.00;0.00;-1.00;43;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;10.03;44;5.00;1;1;1.66;10.03
30.00;60.00;720.00;11.04;45;5.00;6;5;8.20;11.41
30.00;60.00;120.00;20.05;46;5.00;1;1;0.83;20.05
30.00;60.00;0.00;-1.00;47;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;48;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;49;-1.00;0;0;100.00;-1.00
30.00;60.00;0.00;-1.00;50;-1.00;0;0;0.00;-1.00
30.00;60.00;120.00;19.25;51;5.00;1;1;0.87;19.25
30.00;60.00;0.00;-1.00;52;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;54;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;55;-1.00;0;0;0.00;-1.00
30.00;60.00;0.00;-1.00;56;-1.00;0;0;0.00;-1.00
30.00;60.00;240.00;16.72;57;5.00;2;2;1.99;16.72
30.00;60.00;0.00;-1.00;58;-1.00;0;0;0.00;-1.00
